"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Subscription","Test Case 10: Verify Subscription in home page","1","0","2","0","0"
"","Site navigation","Test Case 7: Verify Test Cases Page","1","0","2","0","0"
"","Account management","Test Case 1: Register User","1","0","2","0","0"
"","Site navigation","Test Case 6: Contact Us Form","1","0","2","0","0"
"","Account management","Test Case 5: Register User with existing email","1","0","2","0","0"
"","Account management","Test Case 4: Logout User","1","0","2","0","0"
"","Products","Test Case 9: Search Product","1","0","2","0","0"
"","Account management","Test Case 3: Login User with incorrect email and password","1","0","2","0","0"
"","Products","Test Case 8: Verify All Products and product detail page","1","0","2","0","0"
"","Account management","Test Case 2: Login User with correct email and password","1","0","2","0","0"
