"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Products","Test Case 9: Search Product","0","0","3","0","0"
"","Account management","Test Case 1: Register User","0","0","3","0","0"
"","Site navigation","Test Case 7: Verify Test Cases Page","0","0","3","0","0"
"","Site navigation","Test Case 6: Contact Us Form","0","0","3","0","0"
"","Account management","Test Case 5: Register User with existing email","0","0","3","0","0"
"","Account management","Test Case 2: Login User with correct email and password","0","0","3","0","0"
"","Account management","Test Case 3: Login User with incorrect email and password","0","0","3","0","0"
"","Products","Test Case 8: Verify All Products and product detail page","0","0","3","0","0"
"","Account management","Test Case 4: Logout User","0","0","3","0","0"
"","Subscription","Test Case 10: Verify Subscription in home page","0","0","3","0","0"
