"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 13 10:53:20 UTC 2026","Sun Sep 13 10:53:52 UTC 2026","32541","tests","test_test_cases","TestProducts","","","test_case_08_all_products_and_detail_page[chromium]",""
"passed","Sun Sep 13 10:53:53 UTC 2026","Sun Sep 13 10:54:12 UTC 2026","18620","tests","test_test_cases","TestProducts","","","test_case_09_search_product[chromium]",""
"passed","Sun Sep 13 10:54:15 UTC 2026","Sun Sep 13 10:54:30 UTC 2026","14947","tests","test_test_cases","TestAccountManagement","","","test_case_03_login_incorrect_credentials[webkit-wrongemail@test.com-wrongpass]",""
"passed","Sun Sep 13 10:53:47 UTC 2026","Sun Sep 13 10:54:31 UTC 2026","44522","tests","test_test_cases","TestAccountManagement","","","test_case_02_login_correct_credentials[firefox]",""
"passed","Sun Sep 13 10:55:42 UTC 2026","Sun Sep 13 10:55:54 UTC 2026","11883","tests","test_test_cases","TestSubscription","","","test_case_10_subscription_home_page[webkit]",""
"passed","Sun Sep 13 10:54:15 UTC 2026","Sun Sep 13 10:54:27 UTC 2026","12033","tests","test_test_cases","TestNavigation","","","test_case_07_verify_test_cases_page[webkit]",""
"passed","Sun Sep 13 10:53:05 UTC 2026","Sun Sep 13 10:54:08 UTC 2026","63206","tests","test_test_cases","TestAccountManagement","","","test_case_05_register_existing_email[firefox]",""
"passed","Sun Sep 13 10:54:05 UTC 2026","Sun Sep 13 10:54:18 UTC 2026","12219","tests","test_test_cases","TestSubscription","","","test_case_10_subscription_home_page[firefox]",""
"passed","Sun Sep 13 10:53:18 UTC 2026","Sun Sep 13 10:53:47 UTC 2026","29621","tests","test_test_cases","TestProducts","","","test_case_08_all_products_and_detail_page[firefox]",""
"passed","Sun Sep 13 10:54:28 UTC 2026","Sun Sep 13 10:54:57 UTC 2026","29437","tests","test_test_cases","TestProducts","","","test_case_08_all_products_and_detail_page[webkit]",""
"passed","Sun Sep 13 10:54:10 UTC 2026","Sun Sep 13 10:54:26 UTC 2026","16084","tests","test_test_cases","TestNavigation","","","test_case_06_contact_us_form[firefox]",""
"passed","Sun Sep 13 10:53:49 UTC 2026","Sun Sep 13 10:54:05 UTC 2026","15486","tests","test_test_cases","TestProducts","","","test_case_09_search_product[firefox]",""
"passed","Sun Sep 13 10:55:15 UTC 2026","Sun Sep 13 10:55:32 UTC 2026","17363","tests","test_test_cases","TestNavigation","","","test_case_06_contact_us_form[webkit]",""
"passed","Sun Sep 13 10:54:31 UTC 2026","Sun Sep 13 10:55:09 UTC 2026","38578","tests","test_test_cases","TestAccountManagement","","","test_case_04_logout_user[webkit]",""
"passed","Sun Sep 13 10:54:15 UTC 2026","Sun Sep 13 10:54:53 UTC 2026","38214","tests","test_test_cases","TestAccountManagement","","","test_case_01_register_user[webkit]",""
"passed","Sun Sep 13 10:53:05 UTC 2026","Sun Sep 13 10:53:19 UTC 2026","14940","tests","test_test_cases","TestAccountManagement","","","test_case_03_login_incorrect_credentials[firefox-wrongemail@test.com-wrongpass]",""
"passed","Sun Sep 13 10:54:58 UTC 2026","Sun Sep 13 10:55:13 UTC 2026","15249","tests","test_test_cases","TestProducts","","","test_case_09_search_product[webkit]",""
"passed","Sun Sep 13 10:53:05 UTC 2026","Sun Sep 13 10:53:47 UTC 2026","42134","tests","test_test_cases","TestAccountManagement","","","test_case_01_register_user[chromium]",""
"passed","Sun Sep 13 10:54:08 UTC 2026","Sun Sep 13 10:54:27 UTC 2026","18657","tests","test_test_cases","TestNavigation","","","test_case_06_contact_us_form[chromium]",""
"passed","Sun Sep 13 10:53:05 UTC 2026","Sun Sep 13 10:54:05 UTC 2026","59849","tests","test_test_cases","TestAccountManagement","","","test_case_05_register_existing_email[chromium]",""
"passed","Sun Sep 13 10:53:21 UTC 2026","Sun Sep 13 10:54:03 UTC 2026","42751","tests","test_test_cases","TestAccountManagement","","","test_case_04_logout_user[firefox]",""
"passed","Sun Sep 13 10:53:05 UTC 2026","Sun Sep 13 10:53:17 UTC 2026","11897","tests","test_test_cases","TestNavigation","","","test_case_07_verify_test_cases_page[firefox]",""
"passed","Sun Sep 13 10:53:05 UTC 2026","Sun Sep 13 10:53:19 UTC 2026","14576","tests","test_test_cases","TestAccountManagement","","","test_case_03_login_incorrect_credentials[chromium-wrongemail@test.com-wrongpass]",""
"passed","Sun Sep 13 10:53:04 UTC 2026","Sun Sep 13 10:53:44 UTC 2026","40074","tests","test_test_cases","TestAccountManagement","","","test_case_01_register_user[firefox]",""
"passed","Sun Sep 13 10:54:15 UTC 2026","Sun Sep 13 10:55:13 UTC 2026","57578","tests","test_test_cases","TestAccountManagement","","","test_case_05_register_existing_email[webkit]",""
